sci,en,class_,order_,family,wiki,source
Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,Anura,Ranidae,Lithobates_sphenocephalus,gbif
Eptesicus serotinus,Serotine Bat,Mammalia,Chiroptera,Vespertilionidae,Eptesicus_serotinus,gbif
Psaltoda plaga,Black Prince,Insecta,Hemiptera,Cicadidae,Psaltoda_plaga,gbif
Pseudacris triseriata,western chorus frog,Amphibia,Anura,Hylidae,Pseudacris_triseriata,gbif
Incilius nebulifer,Gulf Coast Toad,Amphibia,Anura,Bufonidae,Incilius_nebulifer,gbif
Nyctalus noctula,Noctule Bat,Mammalia,Chiroptera,Vespertilionidae,Nyctalus_noctula,gbif
Roeseliana roeselii,Roesel's Bush Cricket,Insecta,Orthoptera,Tettigoniidae,Roeseliana_roeselii,gbif
Tettigonia cantans,Upland Green Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Tettigonia_cantans,gbif
Pipistrellus pygmaeus,Soprano Pipistrelle,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus_pygmaeus,gbif
Saga hellenica,Greek Predatory Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Saga_hellenica,gbif
Chorthippus mollis,lesser field grasshopper,Insecta,Orthoptera,Acrididae,Chorthippus_mollis,gbif
Pipistrellus kuhlii,Kuhl's pipistrelle,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus_kuhlii,gbif
Phaneroptera nana,Mediterranean Katydid,Insecta,Orthoptera,Tettigoniidae,Phaneroptera_nana,gbif
Eupholidoptera schmidti,Schmidt's Marbled Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Eupholidoptera_schmidti,gbif
Aleeta curvicosta,Floury Baker,Insecta,Hemiptera,Cicadidae,Aleeta_curvicosta,gbif
Eumodicogryllus bordigalensis,Bordeaux Cricket,Insecta,Orthoptera,Gryllidae,Eumodicogryllus_bordigalensis,gbif
Hypsugo savii,Savi's Pipistrelle,Mammalia,Chiroptera,Vespertilionidae,Hypsugo_savii,gbif
Chorthippus brunneus,field grasshopper,Insecta,Orthoptera,Acrididae,Chorthippus_brunneus,gbif
Lithobates pipiens,Northern Leopard Frog,Amphibia,Anura,Ranidae,Lithobates_pipiens,gbif
Nyctalus leisleri,Lesser noctule,Mammalia,Chiroptera,Vespertilionidae,Nyctalus_leisleri,gbif
Neotibicen pruinosus,Scissor Grinder,Insecta,Hemiptera,Cicadidae,Neotibicen_pruinosus,gbif
Magicicada cassini,dwarf periodical cicada,Insecta,Hemiptera,Cicadidae,Magicicada_cassini,gbif
Pseudacris clarkii,spotted chorus frog,Amphibia,Anura,Hylidae,Pseudacris_clarkii,gbif
Gryllotalpa gryllotalpa,Mole-cricket,Insecta,Orthoptera,Gryllotalpidae,Gryllotalpa_gryllotalpa,gbif
Isophya lemnotica,Limnos Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Isophya_lemnotica,gbif
Limnodynastes tasmaniensis,spotted marsh frog,Amphibia,Anura,Limnodynastidae,Limnodynastes_tasmaniensis,gbif
Epidalea calamita,Natterjack,Amphibia,Anura,Bufonidae,Epidalea_calamita,gbif
Neotibicen robinsonianus,Juniper Scissor-Grinder,Insecta,Hemiptera,Cicadidae,Neotibicen_robinsonianus,gbif
Neotibicen tibicen,Black-back Cicada,Insecta,Hemiptera,Cicadidae,Neotibicen_tibicen,gbif
Galanga labeculata,Double-spotted Cicada,Insecta,Hemiptera,Cicadidae,Galanga_labeculata,gbif
Pseudochorthippus parallelus,Meadow Grasshopper,Insecta,Orthoptera,Acrididae,Pseudochorthippus_parallelus,gbif
Acris crepitans,northern cricket frog,Amphibia,Anura,Hylidae,Acris_crepitans,gbif
Cyclochila australasiae,Blue Moon (turquoise form),Insecta,Hemiptera,Cicadidae,Cyclochila_australasiae,gbif
Zhangixalus arvalis,Farmland Green Treefrog,Amphibia,Anura,Rhacophoridae,Zhangixalus_arvalis,gbif
Dryophytes squirellus,Squirrel Treefrog,Amphibia,Anura,Hylidae,Dryophytes_squirellus,gbif
Chorthippus eisentrauti,Eisentraut's Bow-winged Grasshopper,Insecta,Orthoptera,Acrididae,Chorthippus_eisentrauti,gbif
Platycleis albopunctata,Grey Bush Cricket,Insecta,Orthoptera,Tettigoniidae,Platycleis_albopunctata,gbif
Pelophylax lessonae,Pool Frog,Amphibia,Anura,Ranidae,Pelophylax_lessonae,gbif
Alytes obstetricans,midwife frog,Amphibia,Anura,Alytidae,Alytes_obstetricans,gbif
Pseudacris fouquettei,Cajun Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_fouquettei,gbif
Gryllus pennsylvanicus,Fall Field Cricket,Insecta,Orthoptera,Gryllidae,Gryllus_pennsylvanicus,gbif
Acris gryllus,southern cricket frog,Amphibia,Anura,Hylidae,Acris_gryllus,gbif
Gastrophryne olivacea,Great Plains Narrow-mouthed Toad,Amphibia,Anura,Microhylidae,Gastrophryne_olivacea,gbif
Pelophylax perezi,Iberian Water Frog,Amphibia,Anura,Ranidae,Pelophylax_perezi,gbif
Strongylopus grayii,Clicking Stream Frog,Amphibia,Anura,Pyxicephalidae,Strongylopus_grayii,gbif
Bufotes viridis,Green Toad,Amphibia,Anura,Bufonidae,Bufotes_viridis,gbif
Conocephalus fuscus,Long-winged Conehead,Insecta,Orthoptera,Tettigoniidae,Conocephalus_fuscus,gbif
Leptophyes punctatissima,Speckled Bush Cricket,Insecta,Orthoptera,Tettigoniidae,Leptophyes_punctatissima,gbif
Hyla meridionalis,Stripeless Tree Frog,Amphibia,Anura,Hylidae,Hyla_meridionalis,gbif
Yoyetta repetens,Zipping Ambertail,Insecta,Hemiptera,Cicadidae,Yoyetta_repetens,gbif
Phaneroptera falcata,Sickle-bearing Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Phaneroptera_falcata,gbif
Cicada barbara,,Insecta,Hemiptera,Cicadidae,Cicada_barbara,gbif
Tessellana lagrecai,La Greca's Slender Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Tessellana_lagrecai,gbif
Hapithus saltator,Jumping Bush Cricket,Insecta,Orthoptera,Gryllidae,Hapithus_saltator,gbif
Pteronemobius heydenii,,Insecta,Orthoptera,Trigonidiidae,Pteronemobius_heydenii,gbif
Velarifictorus micado,Japanese burrowing cricket,Insecta,Orthoptera,Gryllidae,Velarifictorus_micado,gbif
Anaxyrus fowleri,Fowler's Toad,Amphibia,Anura,Bufonidae,Anaxyrus_fowleri,gbif
Atrapsalta corticina,Bark Squeaker,Insecta,Hemiptera,Cicadidae,Atrapsalta_corticina,gbif
Ruspolia nitidula,Large Conehead,Insecta,Orthoptera,Tettigoniidae,Ruspolia_nitidula,gbif
Nemobius sylvestris,Wood Cricket,Insecta,Orthoptera,Trigonidiidae,Nemobius_sylvestris,gbif
Dryophytes japonicus,Japanese Treefrog,Amphibia,Anura,Hylidae,Dryophytes_japonicus,gbif
Neotibicen canicularis,God-day Cicada,Insecta,Hemiptera,Cicadidae,Neotibicen_canicularis,gbif
Lithobates palustris,Pickerel Frog,Amphibia,Anura,Ranidae,Lithobates_palustris,gbif
Eleutherodactylus campi,Camp's Chirping Frog,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus_campi,gbif
Decticus albifrons,Mediterranean Wart-biter,Insecta,Orthoptera,Tettigoniidae,Decticus_albifrons,gbif
Litoria ewingii,southern brown tree frog,Amphibia,Anura,Pelodryadidae,Litoria_ewingii,gbif
Microcentrum rhombifolium,Broad-winged Katydid,Insecta,Orthoptera,Tettigoniidae,Microcentrum_rhombifolium,gbif
Henicopsaltria eydouxii,Razor Grinder,Insecta,Hemiptera,Cicadidae,Henicopsaltria_eydouxii,gbif
Poecilimon affinis,Balkan Bright Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Poecilimon_affinis,gbif
Popplepsalta notialis,Southern Red-eyed Squeaker,Insecta,Hemiptera,Cicadidae,Popplepsalta_notialis,gbif
Phaneroptera sparsa,Arabian Sickle Bush-cricke,Insecta,Orthoptera,Tettigoniidae,Phaneroptera_sparsa,gbif
Litoria peronii,Peron’s Tree Frog,Amphibia,Anura,Pelodryadidae,Litoria_peronii,gbif
Decticus verrucivorus,Wart-biter,Insecta,Orthoptera,Tettigoniidae,Decticus_verrucivorus,gbif
Oecanthus fultoni,Snowy Tree Cricket,Insecta,Orthoptera,Gryllidae,Oecanthus_fultoni,gbif
Tettigettalna argentata,,Insecta,Hemiptera,Cicadidae,Tettigettalna_argentata,gbif
Pelophylax nigromaculatus,Black-spotted Pond Frog,Amphibia,Anura,Ranidae,Pelophylax_nigromaculatus,gbif
Neocicada hieroglyphica,Hieroglyphic Cicada,Insecta,Hemiptera,Cicadidae,Neocicada_hieroglyphica,gbif
Hyalessa maculaticollis,Cham Cicada,Insecta,Hemiptera,Cicadidae,Hyalessa_maculaticollis,gbif
Oecanthus nigricornis,Black-horned Tree Cricket,Insecta,Orthoptera,Gryllidae,Oecanthus_nigricornis,gbif
Cystosoma saundersii,Bladder Cicada,Insecta,Hemiptera,Cicadidae,Cystosoma_saundersii,gbif
Psaltoda moerens,Redeye,Insecta,Hemiptera,Cicadidae,Psaltoda_moerens,gbif
Oecanthus quadripunctatus,Four-spotted Tree Cricket,Insecta,Orthoptera,Gryllidae,Oecanthus_quadripunctatus,gbif
Rhinolophus hipposideros,Lesser Horseshoe Bat,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus_hipposideros,gbif
Neotibicen lyricen,Lyre Scissor-Grinder,Insecta,Hemiptera,Cicadidae,Neotibicen_lyricen,gbif
Adelotus brevis,Tusked Frog,Amphibia,Anura,Limnodynastidae,Adelotus_brevis,gbif
Neotibicen linnei,Angled Harvestfly,Insecta,Hemiptera,Cicadidae,Neotibicen_linnei,gbif
Sylvirana guentheri,,Amphibia,Anura,Ranidae,Sylvirana_guentheri,gbif
Platycleis intermedia,Intermediate Grey Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Platycleis_intermedia,gbif
Lithobates berlandieri,Rio Grande Leopard Frog,Amphibia,Anura,Ranidae,Lithobates_berlandieri,gbif
Bicolorana bicolor,Bicolour Meadow Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Bicolorana_bicolor,gbif
Oecanthus dulcisonans,Large Tree-cricket,Insecta,Orthoptera,Gryllidae,Oecanthus_dulcisonans,gbif
Neoconocephalus ensiger,Swordbearer,Insecta,Orthoptera,Tettigoniidae,Neoconocephalus_ensiger,gbif
Psaltoda harrisii,Yellowbelly,Insecta,Hemiptera,Cicadidae,Psaltoda_harrisii,gbif
Neocurtilla hexadactyla,northern mole cricket,Insecta,Orthoptera,Gryllotalpidae,Neocurtilla_hexadactyla,gbif
Barbitistes ocskayi,Black Saw Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Barbitistes_ocskayi,gbif
Neotibicen superbus,Superb Dog-day Cicada,Insecta,Hemiptera,Cicadidae,Neotibicen_superbus,gbif
Ephippiger diurnus,Western Saddle Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Ephippiger_diurnus,gbif
Chorthippus vagans,heath grasshopper,Insecta,Orthoptera,Acrididae,Chorthippus_vagans,gbif
Oecanthus argentinus,prairie tree cricket,Insecta,Orthoptera,Gryllidae,Oecanthus_argentinus,gbif
Barbastella barbastellus,Western Barbastelle,Mammalia,Chiroptera,Vespertilionidae,Barbastella_barbastellus,gbif
Tamiasciurus douglasii,Douglas squirrel,Mammalia,Rodentia,Sciuridae,Tamiasciurus_douglasii,gbif
Canariola emarginata,Spanish Laurel Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Canariola_emarginata,gbif
Muntiacus reevesi,Chinese Muntjac,Mammalia,Artiodactyla,Cervidae,Muntiacus_reevesi,gbif
Otospermophilus beecheyi,California ground squirrel,Mammalia,Rodentia,Sciuridae,Otospermophilus_beecheyi,gbif
Lithobates grylio,Pig Frog,Amphibia,Anura,Ranidae,Lithobates_grylio,gbif
Litoria fallax,Eastern Dwarf Treefrog,Amphibia,Anura,Pelodryadidae,Litoria_fallax,gbif
Poecilimon ornatus,Ornate Bright Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Poecilimon_ornatus,gbif
Yersinella raymondii,Raymond's Bush-cricket,Insecta,Orthoptera,Tettigoniidae,Yersinella_raymondii,gbif
Platypleura kaempferi,,Insecta,Hemiptera,Cicadidae,Platypleura_kaempferi,gbif
Chorthippus dorsatus,Steppe grasshopper,Insecta,Orthoptera,Acrididae,Chorthippus_dorsatus,gbif
Omocestus viridulus,Common Green Grasshopper,Insecta,Orthoptera,Acrididae,Omocestus_viridulus,gbif
Platycleis affinis,,Insecta,Orthoptera,Tettigoniidae,Platycleis_affinis,gbif
Plecotus auritus,common long-eared bat,Mammalia,Chiroptera,Vespertilionidae,Plecotus_auritus,gbif
Rana arvalis,Moor Frog,Amphibia,Anura,Ranidae,Rana_arvalis,gbif
Hyla intermedia,Italian Tree Frog,Amphibia,Anura,Hylidae,Hyla_intermedia,gbif
Ranoidea raniformis,Golden Bell Frog,Amphibia,Anura,Pelodryadidae,Ranoidea_raniformis,gbif
Kaloula pulchra,"Common,Banded Bullfrog",Amphibia,Anura,Microhylidae,Kaloula_pulchra,gbif
Zhangixalus moltrechti,Moltrech's Green Flying Frog,Amphibia,Anura,Rhacophoridae,Zhangixalus_moltrechti,gbif
Miniopterus schreibersii,Schreibers's Long-fingered Bat,Mammalia,Chiroptera,Miniopteridae,Miniopterus_schreibersii,gbif
Geocrinia victoriana,Eastern Smooth Frog,Amphibia,Anura,Myobatrachidae,Geocrinia_victoriana,gbif
Anaxyrus terrestris,southern toad,Amphibia,Anura,Bufonidae,Anaxyrus_terrestris,gbif
Diceros bicornis,black rhinoceros,Mammalia,Perissodactyla,Rhinocerotidae,Diceros_bicornis,gbif
Pseudacris streckeri,Strecker's Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_streckeri,gbif
Arthroleptella villiersi,De Villiers' Chirping Frog,Amphibia,Anura,Pyxicephalidae,Arthroleptella_villiersi,gbif
Pipistrellus creticus,Crete Pipistrelle,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus_creticus,gbif
Osteopilus septentrionalis,"Cuban tree frog, Giant Tree-frog",Amphibia,Anura,Hylidae,Osteopilus_septentrionalis,gbif
Ranoidea caerulea,,Amphibia,Anura,Pelodryadidae,Ranoidea_caerulea,gbif
Crinia parinsignifera,Beeping Froglet,Amphibia,Anura,Myobatrachidae,Crinia_parinsignifera,gbif
Eptesicus nilssonii,Northern Bat,Mammalia,Chiroptera,Vespertilionidae,Eptesicus_nilssonii,gbif
Vespertilio murinus,Parti-coloured Bat,Mammalia,Chiroptera,Vespertilionidae,Vespertilio_murinus,gbif
Procyon lotor,raccoon,Mammalia,Carnivora,Procyonidae,Procyon_lotor,gbif
Arthroleptella lightfooti,Cape Peninsula Chirping Frog,Amphibia,Anura,Pyxicephalidae,Arthroleptella_lightfooti,gbif
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,Mammalia,Rodentia,Sciuridae,Ictidomys_tridecemlineatus,gbif
Microhyla fissipes,Ornate Narrow-mouthed Frog,Amphibia,Anura,Microhylidae,Microhyla_fissipes,gbif
Eleutherodactylus johnstonei,"Lesser Antillean whistling frog, Johnstone's Whistling Frog, Johnstone's Robber Frog, Montserrat whistling frog",Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus_johnstonei,gbif
Boana pulchella,Montevideo tree frog,Amphibia,Anura,Hylidae,Boana_pulchella,gbif
Myotis capaccinii,Long-fingered bat,Mammalia,Chiroptera,Vespertilionidae,Myotis_capaccinii,gbif
Sciurus niger,fox squirrel,Mammalia,Rodentia,Sciuridae,Sciurus_niger,gbif
Anaxyrus woodhousii,woodhouse's toad,Amphibia,Anura,Bufonidae,Anaxyrus_woodhousii,gbif
Dryophytes femoralis,Pine Woods Treefrog,Amphibia,Anura,Hylidae,Dryophytes_femoralis,gbif
Fejervarya limnocharis,Asian Grass Frog/Common Pond Frog/Field Frog/Grass Frog/Indian Rice Frog,Amphibia,Anura,Dicroglossidae,Fejervarya_limnocharis,gbif
Ochotona princeps,American pika,Mammalia,Lagomorpha,Ochotonidae,Ochotona_princeps,gbif
Pelodytes punctatus,Parsley Frog,Amphibia,Anura,Pelodytidae,Pelodytes_punctatus,gbif
Hypopachus variolosus,Northern Sheep Frog,Amphibia,Anura,Microhylidae,Hypopachus_variolosus,gbif
Callosciurus erythraeus,Pallas's squirrel,Mammalia,Rodentia,Sciuridae,Callosciurus_erythraeus,gbif
Lasiurus blossevillii,Red Bat,Mammalia,Chiroptera,Vespertilionidae,Lasiurus_blossevillii,gbif
Scaphiopus couchii,Couch's spadefoot toad,Amphibia,Anura,Scaphiopodidae,Scaphiopus_couchii,gbif
Kassina senegalensis,Senegal Land Frog,Amphibia,Anura,Hyperoliidae,Kassina_senegalensis,gbif
Pseudacris brachyphona,Mountain Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_brachyphona,gbif
Leptodactylus albilabris,Caribbean White-lipped Frog,Amphibia,Anura,Leptodactylidae,Leptodactylus_albilabris,gbif
Eleutherodactylus planirostris,Greenhouse frog,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus_planirostris,gbif
Peropteryx kappleri,Greater Dog-Like Bat,Mammalia,Chiroptera,Emballonuridae,Peropteryx_kappleri,gbif
Aeorestes cinereus,Hoary Bat,Mammalia,Chiroptera,Vespertilionidae,Aeorestes_cinereus,gbif
Anaxyrus speciosus,texas toad,Amphibia,Anura,Bufonidae,Anaxyrus_speciosus,gbif
Dryophytes avivoca,Bird-voiced Treefrog,Amphibia,Anura,Hylidae,Dryophytes_avivoca,gbif
Duttaphrynus melanostictus,Common Sunda Toad,Amphibia,Anura,Bufonidae,Duttaphrynus_melanostictus,gbif
Lasionycteris noctivagans,silver-haired bat,Mammalia,Chiroptera,Vespertilionidae,Lasionycteris_noctivagans,gbif
Pseudacris ocularis,Little Grass Frog,Amphibia,Anura,Hylidae,Pseudacris_ocularis,gbif
Nidirana adenopleura,Olive Frog,Amphibia,Anura,Ranidae,Nidirana_adenopleura,gbif
Dryophytes immaculatus,Chinese Immaculate Treefrog,Amphibia,Anura,Hylidae,Dryophytes_immaculatus,gbif
Glaucomys volans,southern flying squirrel,Mammalia,Rodentia,Sciuridae,Glaucomys_volans,gbif
Leptodactylus fragilis,Mexican White-lipped Frog,Amphibia,Anura,Leptodactylidae,Leptodactylus_fragilis,gbif
Canis aureus,golden jackal,Mammalia,Carnivora,Canidae,Canis_aureus,gbif
Myotis nattereri,Natterer's Bat,Mammalia,Chiroptera,Vespertilionidae,Myotis_nattereri,gbif
Pseudacris nigrita,Southern Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_nigrita,gbif
Dryophytes gratiosus,Barking Treefrog,Amphibia,Anura,Hylidae,Dryophytes_gratiosus,gbif
Petaurus australis,Yellow-bellied Glider,Mammalia,Diprotodontia,Petauridae,Petaurus_australis,gbif
Odocoileus virginianus,white-tailed deer,Mammalia,Artiodactyla,Cervidae,Odocoileus_virginianus,gbif
Rhinella horribilis,Mesoamerican Cane Toad,Amphibia,Anura,Bufonidae,Rhinella_horribilis,gbif
Sciurus griseus,Western Gray Squirrel,Mammalia,Rodentia,Sciuridae,Sciurus_griseus,gbif
Scaphiopus holbrookii,Eastern spadefoot toad,Amphibia,Anura,Scaphiopodidae,Scaphiopus_holbrookii,gbif
Kaloula borealis,Manchurian Narrowmouth Toad,Amphibia,Anura,Microhylidae,Kaloula_borealis,gbif
Alouatta pigra,Central American Black Howler,Mammalia,Primates,Atelidae,Alouatta_pigra,gbif
Molossus molossus,Velvety free-tailed bat,Mammalia,Chiroptera,Molossidae,Molossus_molossus,gbif
Rana dalmatina,Agile Frog,Amphibia,Anura,Ranidae,Rana_dalmatina,gbif
Myotis dasycneme,Pond Bat,Mammalia,Chiroptera,Vespertilionidae,Myotis_dasycneme,gbif
Sciurus vulgaris,Eurasian red squirrel,Mammalia,Rodentia,Sciuridae,Sciurus_vulgaris,gbif
Sclerophrys gutturalis,Gutteral Toad,Amphibia,Anura,Bufonidae,Sclerophrys_gutturalis,gbif
Lithobates kauffeldi,Mid-Atlantic Coast Leopard Frog,Amphibia,Anura,Ranidae,Lithobates_kauffeldi,gbif
Strongylopus fasciatus,Striped Stream Frog,Amphibia,Anura,Pyxicephalidae,Strongylopus_fasciatus,gbif
Microbatrachella capensis,Cape Flats Frog,Amphibia,Anura,Pyxicephalidae,Microbatrachella_capensis,gbif
Lithobates areolatus,Crawfish Frog,Amphibia,Anura,Ranidae,Lithobates_areolatus,gbif
Hyla orientalis,Common Treefrog,Amphibia,Anura,Hylidae,Hyla_orientalis,gbif
Myotis riparius,Riparian Myotis,Mammalia,Chiroptera,Vespertilionidae,Myotis_riparius,gbif
Anaxyrus quercicus,oak toad,Amphibia,Anura,Bufonidae,Anaxyrus_quercicus,gbif
Crinia glauerti,Rattle Froglet,Amphibia,Anura,Myobatrachidae,Crinia_glauerti,gbif
Pseudacris kalmi,New Jersey Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_kalmi,gbif
Litoria verreauxii,Verreaux’s Tree Frog,Amphibia,Anura,Pelodryadidae,Litoria_verreauxii,gbif
Petaurus notatus,Inland Sugar Glider,Mammalia,Diprotodontia,Petauridae,Petaurus_notatus,gbif
Lithobates virgatipes,Carpenter Frog,Amphibia,Anura,Ranidae,Lithobates_virgatipes,gbif
Cacosternum boettgeri,Boettger's Frog,Amphibia,Anura,Pyxicephalidae,Cacosternum_boettgeri,gbif
Artibeus watsoni,Thomas's Fruit-eating Bat,Mammalia,Chiroptera,Phyllostomidae,Artibeus_watsoni,gbif
Leptodactylus melanonotus,Sabinal Frog,Amphibia,Anura,Leptodactylidae,Leptodactylus_melanonotus,gbif
Breviceps montanus,Mountain Blaasop,Amphibia,Anura,Brevicipitidae,Breviceps_montanus,gbif
Leptodactylus fuscus,Rufous Frog,Amphibia,Anura,Leptodactylidae,Leptodactylus_fuscus,gbif
Lithobates septentrionalis,Mink Frog,Amphibia,Anura,Ranidae,Lithobates_septentrionalis,gbif
Pipistrellus abramus,Japanese House Bat,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus_abramus,gbif
Leptodactylus gracilis,Dumeril's Striped Frog,Amphibia,Anura,Leptodactylidae,Leptodactylus_gracilis,gbif
Smilisca baudinii,Mexican Smilisca,Amphibia,Anura,Hylidae,Smilisca_baudinii,gbif
Tamias merriami,Ardilla Listada De Merriam,Mammalia,Rodentia,Sciuridae,Tamias_merriami,gbif
Otospermophilus variegatus,rock squirrel,Mammalia,Rodentia,Sciuridae,Otospermophilus_variegatus,gbif
Panthera pardus,leopard,Mammalia,Carnivora,Felidae,Panthera_pardus,gbif
Glis glis,edible doormouse,Mammalia,Rodentia,Gliridae,Glis_glis,gbif
Sus scrofa,wild boar,Mammalia,Artiodactyla,Suidae,Sus_scrofa,gbif
Urocyon cinereoargenteus,gray fox,Mammalia,Carnivora,Canidae,Urocyon_cinereoargenteus,gbif
Puma concolor,puma,Mammalia,Carnivora,Felidae,Puma_concolor,gbif
Alouatta seniculus,Venezuelan red howler,Mammalia,Primates,Atelidae,Alouatta_seniculus,gbif
Eumops glaucinus,Wagner's bonneted bat,Mammalia,Chiroptera,Molossidae,Eumops_glaucinus,gbif
Hylochoerus meinertzhageni,giant forest hog,Mammalia,Artiodactyla,Suidae,Hylochoerus_meinertzhageni,gbif
